,group,variable,value,articles
0,2013-07,1996,1,Woolly mammoth DNA may lead to a resurrection of the ancient beast
1,2013-07,2012,1,Woolly mammoth DNA may lead to a resurrection of the ancient beast
7,2013-08,2008,1,Google's Sergey Brin bankrolled world's first synthetic beef hamburger
8,2013-08,2009,1,Are universities collecting too much information?
9,2013-08,2010,1,Nasdaq crash triggers fear of data meltdown
10,2013-08,2011,1,Are universities collecting too much information?
11,2013-08,2012,2,It's the 21st century  why are we working so much? | Owen Hatherley<br><br>Nasdaq crash triggers fear of data meltdown
12,2013-08,2014,1,Are universities collecting too much information?
13,2013-08,2017,1,Nasdaq crash triggers fear of data meltdown
14,2013-08,2032,1,It's the 21st century  why are we working so much? | Owen Hatherley
15,2013-08,2060,1,Google's Sergey Brin bankrolled world's first synthetic beef hamburger
18,2013-09,2002,1,Grub's up: can insects feed the world?
19,2013-09,2008,1,Grub's up: can insects feed the world?
20,2013-09,2010,1,Mission to colonise Mars: 'Columbus didn't wait; nor should we'
21,2013-09,2011,1,Grub's up: can insects feed the world?
22,2013-09,2012,3,"Mission to colonise Mars: 'Columbus didn't wait; nor should we'<br><br>What human faces might look like in 100,000 years<br><br>The cashless society is coming. More reason than ever to use cash | Oliver Burkeman"
23,2013-09,2014,2,"Mission to colonise Mars: 'Columbus didn't wait; nor should we'<br><br>What human faces might look like in 100,000 years"
24,2013-09,2015,1,Mission to colonise Mars: 'Columbus didn't wait; nor should we'
25,2013-09,2018,1,Mission to colonise Mars: 'Columbus didn't wait; nor should we'
26,2013-09,2020,1,Grub's up: can insects feed the world?
27,2013-09,2023,1,Mission to colonise Mars: 'Columbus didn't wait; nor should we'
30,2013-10,1984,1,Empire of digital chip meets nemesis: the law of diminishing political returns | Simon Jenkins
31,2013-10,1992,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
32,2013-10,1995,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
33,2013-10,1996,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
34,2013-10,1998,2,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'<br><br>Why have young people in Japan stopped having sex?
35,2013-10,2000,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
36,2013-10,2003,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
37,2013-10,2004,1,Green power: UK solar installation heads for record
38,2013-10,2007,1,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'
39,2013-10,2008,2,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'<br><br>Why have young people in Japan stopped having sex?
40,2013-10,2010,3,Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'<br><br>Driver-less cars are coming  and they can see cyclists coming too | Carlton Reid<br><br>Why have young people in Japan stopped having sex?
41,2013-10,2011,1,Why have young people in Japan stopped having sex?
42,2013-10,2012,5,"Green power: UK solar installation heads for record<br><br>Craig Venter: 'This isn't a fantasy look at the future. We are doing the future'<br><br>Driver-less cars are coming  and they can see cyclists coming too | Carlton Reid<br><br>Smart robots, driverless cars work  but they bring ethical issues too<br><br>Why have young people in Japan stopped having sex?"
43,2013-10,2014,1,Green power: UK solar installation heads for record
44,2013-10,2020,1,Driver-less cars are coming  and they can see cyclists coming too | Carlton Reid
45,2013-10,2060,1,Why have young people in Japan stopped having sex?
46,2013-11,1997,1,Sci-fi inspired MultiPass lands on earth
47,2013-11,2012,1,Sci-fi inspired MultiPass lands on earth
48,2013-11,2014,1,Sci-fi inspired MultiPass lands on earth
49,2013-11,2015,1,Sci-fi inspired MultiPass lands on earth
50,2013-12,2008,1,Which will be the big economies in 15 years? It's not a done deal | Will Hutton
51,2013-12,2011,2,Which will be the big economies in 15 years? It's not a done deal | Will Hutton<br><br>We need to talk about TED | Benjamin Bratton
52,2013-12,2012,1,Which will be the big economies in 15 years? It's not a done deal | Will Hutton
53,2013-12,2014,1,The mood-sweater that means you can wear your heart on your sleeve
54,2013-12,2028,1,Which will be the big economies in 15 years? It's not a done deal | Will Hutton
58,2014-01,1984,1,TED isn't a recipe for 'civilisational disaster' | Chris Anderson
59,2014-01,1990,1,The robots are coming. Will they bring wealth or a divided society?
60,2014-01,2007,1,TED isn't a recipe for 'civilisational disaster' | Chris Anderson
61,2014-01,2009,1,TED isn't a recipe for 'civilisational disaster' | Chris Anderson
62,2014-01,2010,1,The robots are coming. Will they bring wealth or a divided society?
63,2014-01,2011,1,Kenya to generate over half of its electricity through solar power by 2016
64,2014-01,2013,2,The robots are coming. Will they bring wealth or a divided society?<br><br>TED isn't a recipe for 'civilisational disaster' | Chris Anderson
65,2014-01,2015,1,Kenya to generate over half of its electricity through solar power by 2016
66,2014-01,2016,1,Kenya to generate over half of its electricity through solar power by 2016
67,2014-01,2050,1,"Robot farmers are the future of agriculture, says government"
70,2014-02,1984,1,Amory Lovins: energy visionary sees renewables revolution in full swing
71,2014-02,1990,1,Are the robots about to rise? Google's new director of engineering thinks so
72,2014-02,1994,1,Amory Lovins: energy visionary sees renewables revolution in full swing
73,2014-02,1996,1,How computer-generated fake papers are flooding academia
74,2014-02,1997,1,Are the robots about to rise? Google's new director of engineering thinks so
75,2014-02,1998,1,Are the robots about to rise? Google's new director of engineering thinks so
76,2014-02,1999,1,Are the robots about to rise? Google's new director of engineering thinks so
77,2014-02,2000,2,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'<br><br>Are the robots about to rise? Google's new director of engineering thinks so
78,2014-02,2004,1,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'
79,2014-02,2005,1,How computer-generated fake papers are flooding academia
80,2014-02,2008,3,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'<br><br>Cities in motion: how slime mould can redraw our rail and road maps<br><br>Amory Lovins: energy visionary sees renewables revolution in full swing
81,2014-02,2010,1,Cities in motion: how slime mould can redraw our rail and road maps
82,2014-02,2011,2,Robots to roam Tate Britain at night<br><br>Are the robots about to rise? Google's new director of engineering thinks so
83,2014-02,2012,1,Amory Lovins: energy visionary sees renewables revolution in full swing
84,2014-02,2013,3,Families hope 'Frankenstein science' lobby will not stop gene cure for mitochondrial disease<br><br>Are the robots about to rise? Google's new director of engineering thinks so<br><br>Amory Lovins: energy visionary sees renewables revolution in full swing
85,2014-02,2015,1,Families hope 'Frankenstein science' lobby will not stop gene cure for mitochondrial disease
86,2014-02,2020,2,James Lovelock: 'Enjoy life while you can: in 20 years global warming will hit the fan'<br><br>Computer dating: coming soon to an operating system near you?
87,2014-02,2029,2,Are the robots about to rise? Google's new director of engineering thinks so<br><br>Computer dating: coming soon to an operating system near you?
